label,n_reco,n_particles,recoeffT,avg_recoeff,n_clones,clone_percentage,purityT,avg_purity,avg_hiteff,hit_eff_percentage,run_id,max_slopes,max_tolerance,scatter
long_fromb,1,444,0.22522522522522523,0.22522522522522523,0,0.0,80.0,0.0,0.0,33.33333333333333,649,"(np.float64(1.4320317692705178), np.float64(3.6187780860923153))","(np.float64(9.259898283169449), np.float64(8.878245333144978))",7.957675457384138
long>5GeV,34,5100,0.6666666666666666,0.6666666666666667,0,0.0,76.7670401493931,0.0,0.0,35.88667820069204,650,"(np.float64(8.873611695511883), np.float64(9.834217557154188))","(np.float64(9.108061220871631), np.float64(9.991239450613744))",2.810764752571643
long_strange,3,385,0.7792207792207793,0.7792207792207793,0,0.0,82.14285714285715,0.0,0.0,64.44444444444444,650,"(np.float64(8.873611695511883), np.float64(9.834217557154188))","(np.float64(9.108061220871631), np.float64(9.991239450613744))",2.810764752571643
long,52,8076,0.6438831104507182,0.6438831104507181,0,0.0,77.30616605616606,0.0,0.0,36.42040557481734,650,"(np.float64(8.873611695511883), np.float64(9.834217557154188))","(np.float64(9.108061220871631), np.float64(9.991239450613744))",2.810764752571643
long_strange>5GeV,1,174,0.5747126436781609,0.5747126436781609,0,0.0,75.0,0.0,0.0,60.0,650,"(np.float64(8.873611695511883), np.float64(9.834217557154188))","(np.float64(9.108061220871631), np.float64(9.991239450613744))",2.810764752571643
velo,241,28026,0.8599157924784129,0.8599157924784129,3,1.2448132780082988,78.95515572769669,78.33333333333333,73.88888888888889,59.60134884134402,650,"(np.float64(8.873611695511883), np.float64(9.834217557154188))","(np.float64(9.108061220871631), np.float64(9.991239450613744))",2.810764752571643
long_fromb,3,444,0.6756756756756757,0.6756756756756757,0,0.0,74.28571428571429,0.0,0.0,39.08313908313908,650,"(np.float64(8.873611695511883), np.float64(9.834217557154188))","(np.float64(9.108061220871631), np.float64(9.991239450613744))",2.810764752571643
long_fromb>5GeV,1,343,0.2915451895043732,0.2915451895043732,0,0.0,80.0,0.0,0.0,33.33333333333333,650,"(np.float64(8.873611695511883), np.float64(9.834217557154188))","(np.float64(9.108061220871631), np.float64(9.991239450613744))",2.810764752571643
long_fromb>5GeV,1,343,0.2915451895043732,0.2915451895043732,0,0.0,75.0,0.0,0.0,18.75,651,"(np.float64(8.651203809403876), np.float64(2.15456743749907))","(np.float64(9.353629062311072), np.float64(8.798826012297273))",0.3255588284720577
velo,286,28026,1.0204809819453364,1.0204809819453364,19,6.643356643356643,78.57712960991651,75.0,75.0,64.31466107020591,651,"(np.float64(8.651203809403876), np.float64(2.15456743749907))","(np.float64(9.353629062311072), np.float64(8.798826012297273))",0.3255588284720577
long_strange,1,385,0.2597402597402597,0.2597402597402597,0,0.0,100.0,0.0,0.0,100.0,651,"(np.float64(8.651203809403876), np.float64(2.15456743749907))","(np.float64(9.353629062311072), np.float64(8.798826012297273))",0.3255588284720577
long>5GeV,30,5100,0.5882352941176471,0.5882352941176471,0,0.0,76.36219336219338,0.0,0.0,36.22655530743767,651,"(np.float64(8.651203809403876), np.float64(2.15456743749907))","(np.float64(9.353629062311072), np.float64(8.798826012297273))",0.3255588284720577
long_strange>5GeV,0,174,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,651,"(np.float64(8.651203809403876), np.float64(2.15456743749907))","(np.float64(9.353629062311072), np.float64(8.798826012297273))",0.3255588284720577
long_fromb,1,444,0.22522522522522523,0.22522522522522523,0,0.0,75.0,0.0,0.0,18.75,651,"(np.float64(8.651203809403876), np.float64(2.15456743749907))","(np.float64(9.353629062311072), np.float64(8.798826012297273))",0.3255588284720577
long,44,8076,0.5448241703813769,0.5448241703813769,0,0.0,76.73865276138004,0.0,0.0,36.493209330776175,651,"(np.float64(8.651203809403876), np.float64(2.15456743749907))","(np.float64(9.353629062311072), np.float64(8.798826012297273))",0.3255588284720577
long_fromb,12,444,2.7027027027027026,2.7027027027027026,1,8.333333333333334,76.86038320653707,0.0,0.0,45.84146622608161,652,"(np.float64(3.4900067693905767), np.float64(0.10830275776862375))","(np.float64(8.18959148392188), np.float64(4.149202129139725))",7.038215278144151
velo,863,28026,3.079283522443445,3.0792835224434456,43,4.9826187717265356,81.66881438404616,79.88795518207284,49.448476360241074,62.60792271202741,652,"(np.float64(3.4900067693905767), np.float64(0.10830275776862375))","(np.float64(8.18959148392188), np.float64(4.149202129139725))",7.038215278144151
long_strange,4,385,1.0389610389610389,1.0389610389610389,0,0.0,81.25,0.0,0.0,59.82142857142857,652,"(np.float64(3.4900067693905767), np.float64(0.10830275776862375))","(np.float64(8.18959148392188), np.float64(4.149202129139725))",7.038215278144151
long>5GeV,131,5100,2.5686274509803924,2.5686274509803924,4,3.053435114503817,78.00519028296802,77.08333333333334,31.931818181818183,45.58317006287424,652,"(np.float64(3.4900067693905767), np.float64(0.10830275776862375))","(np.float64(8.18959148392188), np.float64(4.149202129139725))",7.038215278144151
long_strange>5GeV,2,174,1.1494252873563218,1.1494252873563218,0,0.0,75.0,0.0,0.0,58.92857142857143,652,"(np.float64(3.4900067693905767), np.float64(0.10830275776862375))","(np.float64(8.18959148392188), np.float64(4.149202129139725))",7.038215278144151
long,194,8076,2.4021792966815254,2.402179296681526,5,2.577319587628866,78.44680166288208,77.08333333333334,31.931818181818183,47.5605164460237,652,"(np.float64(3.4900067693905767), np.float64(0.10830275776862375))","(np.float64(8.18959148392188), np.float64(4.149202129139725))",7.038215278144151
long_fromb>5GeV,9,343,2.623906705539359,2.623906705539359,1,11.11111111111111,76.52564102564102,0.0,0.0,44.209290709290705,652,"(np.float64(3.4900067693905767), np.float64(0.10830275776862375))","(np.float64(8.18959148392188), np.float64(4.149202129139725))",7.038215278144151
long_fromb>5GeV,239,343,69.67930029154519,69.67930029154519,26,10.878661087866108,87.4599976112185,94.44444444444444,94.44444444444444,80.56572951459314,653,"(np.float64(9.725246831407683), np.float64(8.598176552162217))","(np.float64(3.9969396718741312), np.float64(0.41115447579816267))",7.913562030031076
velo,15677,28026,55.93734389495469,55.93734389495468,904,5.766409389551573,90.40909035392075,88.01035679921692,80.41737695235102,83.0232775849542,653,"(np.float64(9.725246831407683), np.float64(8.598176552162217))","(np.float64(3.9969396718741312), np.float64(0.41115447579816267))",7.913562030031076
long_fromb,317,444,71.3963963963964,71.3963963963964,30,9.46372239747634,88.15190697776731,86.58730158730158,82.06349206349206,81.85428681220925,653,"(np.float64(9.725246831407683), np.float64(8.598176552162217))","(np.float64(3.9969396718741312), np.float64(0.41115447579816267))",7.913562030031076
long,5831,8076,72.20158494304111,72.20158494304111,529,9.072200308694907,89.31985562016152,88.34907613753764,83.3023458023458,80.30634319109804,653,"(np.float64(9.725246831407683), np.float64(8.598176552162217))","(np.float64(3.9969396718741312), np.float64(0.41115447579816267))",7.913562030031076
long_strange>5GeV,113,174,64.94252873563218,64.9425287356322,7,6.1946902654867255,89.70666139416137,80.0,66.66666666666666,84.00838397713396,653,"(np.float64(9.725246831407683), np.float64(8.598176552162217))","(np.float64(3.9969396718741312), np.float64(0.41115447579816267))",7.913562030031076
long_strange,254,385,65.97402597402598,65.97402597402598,15,5.905511811023622,89.99388570949912,86.87499999999999,86.66666666666667,85.00037756543334,653,"(np.float64(9.725246831407683), np.float64(8.598176552162217))","(np.float64(3.9969396718741312), np.float64(0.41115447579816267))",7.913562030031076
long>5GeV,3562,5100,69.84313725490196,69.84313725490196,346,9.713644020213364,89.16340638992995,87.71294465172015,81.64693583060932,79.33533133163711,653,"(np.float64(9.725246831407683), np.float64(8.598176552162217))","(np.float64(3.9969396718741312), np.float64(0.41115447579816267))",7.913562030031076
