run_id,inference_time,total_tracks,total_ghosts,overall_ghost_rate,event_avg_ghost_rate,max_slopes,max_tolerance,scatter
10,{'sec': 6.79332709312439},54838,44699,81.51099602465443,75.12650350753721,"(np.float64(1.0954156723187194), np.float64(1.0954156723187194))","(np.float64(1.960175514582836), np.float64(1.960175514582836))",1.436223827765798
11,{'sec': 7.376911163330078},50458,36684,72.7020492290618,65.75692130305336,"(np.float64(1.4712253417202377), np.float64(1.4712253417202377))","(np.float64(1.6190446754066032), np.float64(1.6190446754066032))",1.419056098527941
12,{'sec': 7.401813983917236},51559,38671,75.00339416978608,68.12631858615738,"(np.float64(1.389251160146031), np.float64(1.389251160146031))","(np.float64(1.696292370771068), np.float64(1.696292370771068))",1.6864381660072194
13,{'sec': 7.663362741470337},42647,22178,52.00365793607991,45.67902672812102,"(np.float64(1.1430378092401945), np.float64(1.1430378092401945))","(np.float64(1.1449960544324687), np.float64(1.1449960544324687))",1.8651022866353666
14,{'sec': 7.027155876159668},55389,45663,82.44055678925419,76.14865852293966,"(np.float64(1.2518856279084232), np.float64(1.2518856279084232))","(np.float64(1.9931550466637975), np.float64(1.9931550466637975))",1.8836791005230673
15,{'sec': 6.971982002258301},52186,39947,76.54734986394818,69.81072353677568,"(np.float64(1.055293822422673), np.float64(1.055293822422673))","(np.float64(1.7539815922390036), np.float64(1.7539815922390036))",1.35211160855276
16,{'sec': 7.327280759811401},50296,36293,72.15881978686178,65.21986264337534,"(np.float64(1.5404609443697614), np.float64(1.5404609443697614))","(np.float64(1.6102086634000157), np.float64(1.6102086634000157))",1.3733738922129595
17,{'sec': 7.7685418128967285},41990,20892,49.75470350083353,43.48975086438328,"(np.float64(1.0914639959185841), np.float64(1.0914639959185841))","(np.float64(1.1026593379443115), np.float64(1.1026593379443115))",1.5137037565690665
18,{'sec': 7.334322929382324},51978,39398,75.79745276847898,69.02335996429744,"(np.float64(1.7003272501135105), np.float64(1.7003272501135105))","(np.float64(1.723083151968397), np.float64(1.723083151968397))",1.8740941652130934
19,{'sec': 7.189276218414307},52198,39818,76.28261619219127,69.4199416203316,"(np.float64(1.9484851706779556), np.float64(1.9484851706779556))","(np.float64(1.7356019028854712), np.float64(1.7356019028854712))",1.4227544573664561
20,{'sec': 8.410294771194458},41049,19161,46.67836000877001,40.76286984191104,"(np.float64(1.6050747091421713), np.float64(1.6050747091421713))","(np.float64(1.041493340128559), np.float64(1.041493340128559))",1.2399680124432808
21,{'sec': 7.665353059768677},48240,32333,67.02529021558873,60.091114458897955,"(np.float64(1.9530748958676019), np.float64(1.9530748958676019))","(np.float64(1.4694101847034122), np.float64(1.4694101847034122))",1.2498824859306037
22,{'sec': 8.18696403503418},42464,21702,51.10681989449887,44.855777025528276,"(np.float64(1.5481351092162317), np.float64(1.5481351092162317))","(np.float64(1.123809992987217), np.float64(1.123809992987217))",1.0938636303998794
23,{'sec': 7.370806932449341},46752,29814,63.77053388090349,56.86617039433438,"(np.float64(1.058765622569139), np.float64(1.058765622569139))","(np.float64(1.3969707925178605), np.float64(1.3969707925178605))",1.0558187421367908
24,{'sec': 7.097214937210083},52771,40961,77.62028386803358,70.92139362229081,"(np.float64(1.0787529940521092), np.float64(1.0787529940521092))","(np.float64(1.7950553475191684), np.float64(1.7950553475191684))",1.7425683121864906
25,{'sec': 7.816713094711304},45747,27756,60.67283100531182,53.67210775316113,"(np.float64(1.437123538481873), np.float64(1.437123538481873))","(np.float64(1.3115309374447377), np.float64(1.3115309374447377))",1.241269391630687
26,{'sec': 8.356543064117432},40915,18925,46.25442991567885,40.40486283926468,"(np.float64(1.4127479192821317), np.float64(1.4127479192821317))","(np.float64(1.0319492362196026), np.float64(1.0319492362196026))",1.2244122583160393
27,{'sec': 7.059215784072876},52224,39873,76.34995404411765,69.52318300066922,"(np.float64(1.7061272840830182), np.float64(1.7061272840830182))","(np.float64(1.739052233439429), np.float64(1.739052233439429))",1.0681284381830114
28,{'sec': 7.52286171913147},48678,33215,68.234109864826,61.19255740950894,"(np.float64(1.5589099683804593), np.float64(1.5589099683804593))","(np.float64(1.4996237483289157), np.float64(1.4996237483289157))",1.3299366811314006
29,{'sec': 7.732464790344238},45015,26411,58.67155392646895,51.80380159486997,"(np.float64(1.3326455264685295), np.float64(1.3326455264685295))","(np.float64(1.273805093721478), np.float64(1.273805093721478))",1.528433601906997
